Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
02/28/24,Louisville,MBB,Break Your Heart,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Fight Fight,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Blue & White,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Blue & White,Pregame,,,0-0,N,
02/28/24,Louisville,MBB,Can't,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,Dance the Night,Halftime,,,40-27,N,
02/29/24,Virginia,WBB,Love Runs Out,3Q,<5:00,4:50,51-33,Y,
02/29/24,Virginia,WBB,Wipeout,3Q-4Q Break,,,53-38,N,
02/29/24,Virginia,WBB,Everytime,4Q,<5:00,3:09,68-49,N,
02/29/24,Virginia,WBB,Can't,Halftime,,,40-27,N,
02/29/24,Virginia,WBB,Pumpkin,4Q,<5:00,3:09,69-49,N,
02/29/24,Virginia,WBB,Devil,Postgame,,,73-54,N,
02/29/24,Virginia,WBB,Dear Old Duke,Postgame,,,73-54,N,
02/29/24,Virginia,WBB,Zing It!,4Q,,7:09,60-41,N,
02/29/24,Virginia,WBB,Blue & White,Halftime,,,40-27,N,
02/29/24,Virginia,WBB,Blue & White,1Q,,6:36,11-2,Y,
02/29/24,Virginia,WBB,Spell,2Q,,6:40,23-14,N,
02/29/24,Virginia,WBB,Runaway Baby,1Q-2Q Break,,,17-12,N,
02/29/24,Virginia,WBB,Fight Fight,1Q,,6:36,11-2,N,
02/29/24,Virginia,WBB,Mortal,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,Devil,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,Fight Fight,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,Can't,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,Disturbia,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,That's What I Want,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,About Damn Time,Pregame,,,0-0,N,
02/29/24,Virginia,WBB,Sail,2Q,,6:40,23-14,N,
02/29/24,Virginia,WBB,Lucky Strike,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,Scream,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,Zing It!,3Q-4Q Break,,,56-43,N,
03/07/24,Georgia Tech,WBB,Can't,Pregame,,,0-0,N,
03/07/24,Georgia Tech,WBB,That That,Pregame,,,0-0,Y,
