Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
02/08/24,Wake Forest,WBB,That's What I Want,3Q,n/a,7:25,26-27,N
02/08/24,Wake Forest,WBB,Zing It!,3Q,<5:00,4:33,32-30,N
02/08/24,Wake Forest,WBB,T. gogo,3Q,<5:00,4:33,32-30,N
02/08/24,Wake Forest,WBB,Sucker,3Q-4Q Break,n/a,n/a,45-32,N
02/08/24,Wake Forest,WBB,Everytime,4Q,<5:00,6:40,53-36,N
02/08/24,Wake Forest,WBB,Pumpkin,4Q,<5:00,6:40,53-36,N
02/08/24,Wake Forest,WBB,Devil,Postgame,n/a,n/a,69-46,N
02/08/24,Wake Forest,WBB,Dear Old Duke,Postgame,n/a,n/a,69-46,N
02/10/24,Boston College,MBB,Somebody Told Me,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Stacy's Mom,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Fat,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Scream,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,good 4 business,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Blue & White,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Igor's Theme,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Sucker,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Love Runs Out,Pregame,n/a,n/a,0-0,Y
02/10/24,Boston College,MBB,Can't,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Devil,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Mortal,Pregame,n/a,n/a,0-0,N
02/10/24,Boston College,MBB,Fight Fight,1H,<16:00,14:16,14-9,N
02/10/24,Boston College,MBB,Blue & White,1H,<16:00,14:16,14-9,N
02/10/24,Boston College,MBB,Potential Breakup Song,1H,<12:00,12:00,16-11,N
02/10/24,Boston College,MBB,That's What I Want,1H,<8:00,6:26,25-22,Y
02/10/24,Boston College,MBB,Spell,1H,<4:00,3:33,27-28,N
02/10/24,Boston College,MBB,Blue & White,Halftime,n/a,n/a,36-32,N
02/10/24,Boston College,MBB,Can't,Halftime,n/a,n/a,36-32,N
02/10/24,Boston College,MBB,Dance the Night,Halftime,n/a,n/a,36-32,N
02/10/24,Boston College,MBB,Zing It!,2H,n/a,12:28,56-43,N
02/10/24,Boston College,MBB,D. Ditty,2H,n/a,12:28,56-43,N
02/10/24,Boston College,MBB,Sail,2H,<12:00,11:30,56-43,N
02/10/24,Boston College,MBB,Wipeout,2H,<8:00,7:31,65-51,N
02/10/24,Boston College,MBB,Everytime,2H,<4:00,2:06,73-61,N
02/10/24,Boston College,MBB,Pumpkin,2H,<4:00,2:06,73-61,N
02/10/24,Boston College,MBB,Devil,Postgame,n/a,n/a,80-65,N
02/10/24,Boston College,MBB,Dear Old Duke,Postgame,n/a,n/a,80-65,N
02/11/24,UNC,WBB,Dance the Night,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,That That,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Raise Your Glass,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Uma Thurman,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Can't,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,DJamite,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Somebody Told Me,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Zing It!,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Devil,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Mortal,Pregame,n/a,n/a,0-0,N
02/11/24,UNC,WBB,Fight Fight,1Q,<5:00,4:56,4-11,Y
02/11/24,UNC,WBB,Lucky Strike,1Q-2Q Break,n/a,n/a,12-13,Y
02/11/24,UNC,WBB,Can't,Halftime,n/a,n/a,25-26,N
02/11/24,UNC,WBB,Love from the Other Side,3Q,<5:00,4:07,27-37,Y
02/11/24,UNC,WBB,Wipeout,3Q-4Q Break,n/a,n/a,34-46,Y
02/11/24,UNC,WBB,Zing It!,4Q,n/a,6:28,40-46,Y
02/11/24,UNC,WBB,Everytime,4Q,<5:00,4:05,45-48,Y
