Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
,,,Fight Fight,1Q,<5:00,4:37,8-7,N
,,,Blue & White,1Q,<5:00,4:37,8-7,Y
,,,Runaway Baby,1Q-2Q Break,n/a,n/a,15-16,Y
,,,Spell,2Q,<5:00,4:37,23-20,N
,,,Sail,2Q,<5:00,4:37,23-20,N
,,,Lucky Strike,Halftime,n/a,n/a,30-27,Y
,,,Can't,Halftime,n/a,n/a,30-27,N
,,,Dance the Night,3Q,<5:00,4:44,37-36,Y
,,,Wipeout,3Q,n/a,2:56,37-42,N
,,,Zing It!,3Q-4Q Break,n/a,n/a,39-48,N
,,,T. gogo,3Q-4Q Break,n/a,n/a,39-48,N
,,,Everytime,4Q,<5:00,4:24,47-61,N
,,,Pumpkin,4Q,<5:00,4:24,47-61,N
,,,That's What I Want,4Q,n/a,1:16,56-65,N
,,,Blue & White,Postgame,n/a,n/a,62-70,N
