Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
,,,Scream,Pregame,n/a,n/a,0-0,Y
,,,Fight Fight,1H,<16:00,13:25,7-8,N
,,,Blue & White,1H,<16:00,13:25,7-8,N
,,,Uma Thurman,1H,<16:00,13:25,7-8,Y
,,,Zing It!,1H,<8:00,6:52,21-14,N
,,,Dance the Night,1H,<8:00,6:52,21-14,Y
,,,Blue & White,Halftime,n/a,n/a,27-21,N
,,,Love from the Other Side,Halftime,n/a,n/a,27-21,Y
,,,Can't,Halftime,n/a,n/a,27-21,N
,,,Overpass,Halftime,n/a,n/a,27-21,Y
,,,Devil,2H,<12:00,11:39,38-40,N
,,,That's What I Want,2H,<12:00,11:39,38-40,N
,,,Everytime,2H,n/a,8:19,40-48,N
,,,Sail,2H,<4:00,1:39,54-65,N
,,,Blue & White,Postgame,n/a,n/a,64-76,N
