Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N)
,,,Runaway Baby,1Q-2Q Break,,,6-19,Y
,,,Spell,2Q,<5:00,2:53,15-25,N
,,,Blue & White,Halftime,,,20-27,N
,,,Can't,Halftime,,,20-27,N
,,,About Damn Time,Halftime,,,20-27,N
,,,That's What I Want,3Q,,7:25,26-27,N
,,,Zing It!,3Q,<5:00,4:33,32-30,N
,,,T. gogo,3Q,<5:00,4:33,32-30,N
,,,Sucker,3Q-4Q Break,,,45-32,N
,,,Everytime,4Q,<5:00,6:40,53-36,N
,,,Pumpkin,4Q,<5:00,6:40,53-36,N
,,,Devil,Postgame,,,69-46,N
,,,Dear Old Duke,Postgame,,,69-46,N
2/10,Boston College,MBB,Somebody Told Me,Pregame,,,0-0,N
,,,Stacy's Mom,Pregame,,,0-0,N
,,,Fat,Pregame,,,0-0,N
